;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E2: Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:22:43:280;13:22:50:970;13:22:58:490;13:23:6:270;13:23:14:30;13:23:29:850;13:23:37:830;13:23:45:470;13:23:53:730;13:24:1:550;13:24:9:190;13:24:17:510;13:24:25:250;13:24:33:30;13:24:40:770;13:24:48:70;13:24:55:770;13:25:3:490;13:25:11:700;13:25:19:370;13:25:27:210;13:25:34:830;13:25:42:350;13:25:50:190;13:25:57:850;13:26:6:130;13:26:13:450;13:26:21:310;13:26:28:980;13:26:37:250;13:26:44:950;13:26:52:50;13:27:7:630;13:27:15:450;13:27:23:160;13:27:30:930;13:27:38:710;13:27:46:400;13:27:55:130;13:28:2:770;13:28:10:580;13:28:18:280;13:28:26:120;13:28:33:960;13:28:42:150;13:28:50:160;13:28:57:900;13:29:5:710;13:29:13:460;13:29:21:210;13:29:29:250;13:29:37:10;13:29:45:390;13:29:53:30;13:30:0:930;13:30:8:710;13:30:16:450;13:30:24:150;13:30:31:870;13:30:39:670;13:30:47:390;13:30:55:130;13:31:2:830;13:31:10:500;13:31:18:760;13:31:26:450;13:31:34:210;13:31:41:960;13:31:49:650;13:31:57:520;13:32:5:160;13:32:13:320;13:32:20:990;13:32:28:750;13:32:36:390;13:32:44:140;13:32:52:380;13:33:0:180;13:33:8:230;13:33:15:910;13:33:23:670;13:33:40:240;13:33:48:440;13:33:56:50;13:34:3:840;13:34:11:510;13:34:19:320;13:34:27:80;13:34:34:750;13:34:42:960;13:34:50:590;13:34:58:380;13:35:6:80;13:35:13:850;13:35:21:580;13:35:29:250;13:35:37:400;13:35:45:110;13:35:52:840;13:36:0:450;13:36:8:230;13:36:16:150;13:36:23:840;13:36:32:250;13:36:39:940;13:36:47:800;13:36:55:460;13:37:3:210;13:37:11:370;13:37:19:30;13:37:26:870;13:37:34:580;13:37:42:370;13:37:50:80;13:37:57:730;13:38:5:800;13:38:13:440;13:38:21:780;13:38:28:990;13:38:36:770;13:38:44:480;13:38:52:190;13:39:0:410;13:39:8:80;13:39:15:880;13:39:23:90;13:39:30:920;13:39:38:240;13:39:46:40;13:39:54:0;13:40:1:700;13:40:9:580;13:40:17:860;13:40:25:600;13:40:33:280;13:40:41:70;13:40:48:590;13:40:56:250;13:41:4:650;13:41:12:280;13:41:20:50;13:41:27:790;13:41:35:560;13:41:43:760;13:41:51:380;13:41:59:130;13:42:6:770;13:42:14:640;13:42:22:330;13:42:30:30;13:42:38:220;13:42:45:940;13:42:53:720;13:43:1:460;13:43:9:230;13:43:17:0;13:43:24:650;13:43:32:860;13:43:40:30;13:43:47:790;13:43:55:530;13:44:3:310;13:44:11:30;13:44:18:230;13:44:26:420;13:44:34:120;13:44:41:860;13:44:49:500;13:44:57:340;13:45:4:980;13:45:13:120;13:45:21:330;13:45:28:990;13:45:36:760;13:45:44:440;13:45:52:170;13:45:59:890;13:46:7:580;13:46:15:720;13:46:23:350;13:46:31:210;13:46:38:940;13:46:46:670;13:46:54:460;13:47:2:120;13:47:10:240;13:47:17:920;13:47:25:690;13:47:33:460;13:47:41:160;13:47:48:960;13:47:56:620;13:48:4:700;13:48:12:380;13:48:20:160;13:48:27:900;13:48:35:630;13:48:43:460;13:48:51:180;13:48:59:190
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;4,9950547;4,9697027;4,9681664;4,9643254;4,9635572;4,973544;4,965862;4,9635572;4,973544;4,977385;4,973544;4,967398;4,967398;4,9650936;4,961252;4,9758487;4,972776;4,9758487;4,9635572;4,970471;4,956643;4,9627886;4,9697027;4,9697027;4,967398;4,9643254;4,959716;4,9681664;4,9689345;4,9681664;4,9697027;4,9697027;4,972776;4,9681664;4,9650936;4,9581795;4,9712396;4,9635572;4,9581795;4,967398;4,9689345;4,970471;4,9712396;4,961252;4,9689345;4,9681664;4,9697027;4,970471;4,9650936;4,9681664;4,956643;4,965862;4,956643;4,9620204;4,9681664;4,9689345;4,954338;4,9620204;4,9635572;4,9681664;4,9643254;4,9643254;4,9643254;4,961252;4,9589477;4,961252;4,9512653;4,9558744;4,9643254;4,9558744;4,9643254;4,9581795;4,9635572;4,9643254;4,9627886;4,954338;4,9589477;4,9620204;4,9581795;4,961252;4,9650936;4,9589477;4,9558744;4,9581795;4,9558744;4,9581795;4,9589477;4,95357;4,959716;4,9558744;4,954338;4,961252;4,9635572;4,9581795;4,9581795;4,9581795;4,9520335;4,956643;4,9466558;4,9558744;4,956643;4,9643254;4,947424;4,956643;4,956643;4,954338;4,9520335;4,9589477;4,9558744;4,950497;4,9620204;4,950497;4,961252;4,948192;4,9528017;4,9528017;4,9512653;4,949729;4,9574113;4,9528017;4,9528017;4,95357;4,9520335;4,9558744;4,9397416;4,954338;4,947424;4,95357;4,948192;4,9512653;4,9520335;4,9512653;4,947424;4,943583;4,9451194;4,9528017;4,9558744;4,949729;4,9466558;4,9451194;4,950497;4,9512653;4,9620204;4,961252;4,9458876;4,9458876;4,948192;4,9520335;4,944351;4,9520335;4,944351;4,9466558;4,9458876;4,9458876;4,9528017;4,943583;4,9458876;4,9389734;4,944351;4,950497;4,9412785;4,947424;4,9466558;4,950497;4,9420466;4,9466558;4,9359007;4,948192;4,9412785;4,950497;4,936669;4,9451194;4,9458876;4,9382052;4,9389734;4,947424;4,9389734;4,9397416;4,9359007;4,943583;4,948192;4,9359007;4,9466558;4,9451194;4,9420466;4,9359007;4,943583;4,94051;4,9397416;4,9382052;4,9397416;4,9382052;4,9351325;4,9397416;4,94051;4,9359007;4,94051;4,94051;4,94051;4,9389734
100000;4,9981275;4,970471;4,95357;4,9520335;4,9589477;4,972776;4,959716;4,947424;4,967398;4,9643254;4,9681664;4,9643254;4,9635572;4,9627886;4,9558744;4,961252;4,9635572;4,9643254;4,9819946;4,965862;4,9581795;4,950497;4,9643254;4,9635572;4,961252;4,967398;4,948192;4,9650936;4,977385;4,9635572;4,9635572;4,9574113;4,959716;4,9589477;4,973544;4,948192;4,961252;4,9750805;4,9512653;4,9627886;4,9712396;4,9750805;4,9743123;4,973544;4,9589477;4,9697027;4,967398;4,954338;4,9650936;4,9574113;4,9412785;4,961252;4,950497;4,948192;4,9574113;4,9558744;4,943583;4,9589477;4,9581795;4,95357;4,9520335;4,959716;4,95357;4,972776;4,9712396;4,954338;4,947424;4,973544;4,9574113;4,9635572;4,9650936;4,9689345;4,9528017;4,954338;4,961252;4,972776;4,9650936;4,9689345;4,9558744;4,9520335;4,9512653;4,965862;4,9643254;4,9528017;4,9681664;4,9520335;4,9643254;4,965862;4,950497;4,965862;4,9581795;4,9627886;4,959716;4,950497;4,9650936;4,943583;4,9689345;4,954338;4,9681664;4,95357;4,950497;4,949729;4,9627886;4,949729;4,9589477;4,9627886;4,9650936;4,9451194;4,947424;4,948192;4,948192;4,9635572;4,9466558;4,965862;4,9558744;4,9166946;4,9620204;4,9650936;4,944351;4,9466558;4,9589477;4,9412785;4,948192;4,9520335;4,944351;4,9397416;4,9635572;4,95357;4,9643254;4,9520335;4,956643;4,954338;4,959716;4,9620204;4,9581795;4,9458876;4,9412785;4,9412785;4,948192;4,9574113;4,947424;4,9397416;4,9520335;4,9512653;4,9574113;4,9397416;4,943583;4,954338;4,9412785;4,933596;4,9558744;4,9512653;4,9520335;4,954338;4,94051;4,956643;4,9420466;4,9581795;4,9382052;4,9351325;4,94051;4,936669;4,9382052;4,9343643;4,9574113;4,9466558;4,9520335;4,9451194;4,9558744;4,950497;4,949729;4,9359007;4,933596;4,9528017;4,9512653;4,936669;4,9397416;4,9512653;4,9520335;4,9328275;4,930523;4,9528017;4,9328275;4,944351;4,947424;4,936669;4,9458876;4,933596;4,948192;4,949729;4,9574113;4,947424;4,9520335;4,947424;4,9458876;4,948192;4,9359007;4,947424;4,949729;4,9359007
200000;5,072646;5,012724;5,0204062;5,003505;5,0012007;5,0157967;4,9942865;4,999664;5,0111876;5,0104194;5,0081143;5,006578;5,0111876;5,0042734;4,9973593;5,000432;4,996591;5,006578;5,0503674;4,9950547;4,982763;4,983531;4,9935184;4,9973593;4,9988956;4,999664;4,9812264;4,9942865;5,0572815;5,0042734;4,996591;4,9927497;4,9950547;4,9981275;5,048063;4,976617;4,9950547;5,055745;4,9812264;4,996591;5,054977;5,045758;5,0503674;5,0519037;4,9950547;5,052672;5,041917;4,999664;5,029625;4,9881406;4,982763;4,990445;4,9743123;4,97969;4,9881406;4,9850674;4,9750805;4,9850674;4,996591;4,9881406;4,9881406;4,9873724;4,9858356;5,0449896;5,0380754;4,9850674;4,972776;5,030393;4,9881406;5,0334663;5,0380754;5,0442214;4,9850674;4,9850674;4,9812264;5,0350027;5,0396123;5,030393;4,9804583;4,978922;4,990445;5,0211744;5,0334663;4,9758487;5,026552;4,9850674;5,041917;5,0273204;4,9743123;5,026552;4,983531;5,025784;5,029625;4,9758487;5,0157967;4,978922;5,0219426;4,977385;5,0288568;4,972776;4,973544;4,9758487;5,0142603;4,9750805;5,0273204;5,022711;5,0273204;4,9697027;4,965862;4,9712396;4,9743123;5,01887;4,9689345;5,0234795;4,9712396;4,9697027;5,0165653;5,0173335;4,967398;4,965862;5,026552;4,967398;4,967398;5,032698;5,0111876;4,9589477;5,0204062;5,0150285;5,0242476;5,0111876;5,0157967;5,0142603;5,0081143;5,01887;5,0119557;4,9643254;4,954338;4,9589477;4,9581795;5,009651;4,961252;4,965862;5,0204062;5,006578;5,0111876;4,95357;4,972776;5,0165653;4,956643;4,9574113;5,008883;5,009651;5,000432;5,00581;4,9528017;5,012724;4,95357;5,0165653;4,949729;4,9574113;4,9458876;4,954338;4,9558744;4,949729;5,009651;5,0150285;5,008883;5,006578;5,0042734;5,012724;5,0165653;4,95357;4,948192;5,0050416;5,00581;4,95357;4,9581795;5,01887;4,9981275;4,948192;4,949729;5,0142603;4,9458876;4,9981275;5,0050416;4,986604;4,999664;4,947424;4,9988956;4,9942865;5,0012007;5,003505;5,0050416;5,003505;4,9942865;4,9919815;4,9412785;4,996591;5,0012007;4,947424
300000;5,2316704;5,230902;5,219379;5,213233;5,2093916;5,214001;5,2040143;5,1994047;5,2093916;5,21016;5,206319;5,2032456;5,1978683;5,196332;5,1825037;5,194795;5,1971;5,196332;5,174053;5,196332;5,187113;5,1886497;5,193259;5,190186;5,190954;5,1886497;5,174053;5,170212;5,164834;5,187881;5,1863446;5,190186;5,190186;5,187881;5,160993;5,1748214;5,187113;5,1625295;5,1748214;5,1786623;5,15792;5,1594567;5,1563835;5,167139;5,190186;5,167139;5,1732845;5,187113;5,164834;5,187881;5,1786623;5,1694436;5,1686754;5,167139;5,1801987;5,1748214;5,164066;5,170212;5,1732845;5,1786623;5,1694436;5,170212;5,1725163;5,1433234;5,141019;5,1686754;5,1556153;5,147165;5,167139;5,1433234;5,141787;5,1402507;5,1686754;5,164834;5,160993;5,137178;5,137946;5,1387143;5,154847;5,160993;5,164066;5,137946;5,1333365;5,1571517;5,1325684;5,1494694;5,1333365;5,1271906;5,153311;5,1271906;5,147165;5,1271906;5,127959;5,1494694;5,1271906;5,1456285;5,1233497;5,1433234;5,121045;5,1494694;5,148701;5,153311;5,127959;5,1433234;5,1218133;5,1195083;5,121045;5,147165;5,141787;5,1402507;5,144092;5,117972;5,1402507;5,114131;5,137946;5,1586885;5,1156673;5,111826;5,141787;5,137946;5,114131;5,1325684;5,1341047;5,112594;5,0964613;5,1218133;5,107985;5,1064487;5,111826;5,1110578;5,111826;5,1110578;5,108753;5,101839;5,10568;5,1333365;5,135641;5,127959;5,121045;5,1026073;5,1233497;5,124118;5,1041436;5,10568;5,0995345;5,1102896;5,1156673;5,0964613;5,1195083;5,1202765;5,0987663;5,1003027;5,1041436;5,0979977;5,124118;5,0979977;5,1202765;5,091084;5,1195083;5,1195083;5,1172037;5,1202765;5,1202765;5,125654;5,0941567;5,0933886;5,0872426;5,101839;5,0941567;5,094925;5,091084;5,1164355;5,1164355;5,091852;5,0903153;5,117972;5,1064487;5,085706;5,088011;5,111826;5,1156673;5,084938;5,1156673;5,088779;5,091084;5,075719;5,0864744;5,112594;5,082633;5,088779;5,082633;5,0872426;5,0795603;5,0803285;5,085706;5,081865;5,104912;5,081865;5,0864744;5,101839
400000;5,1863446;5,1971;5,2017093;5,1986365;5,194027;5,196332;5,190186;5,18404;5,200173;5,196332;5,196332;5,1978683;5,1924906;5,1994047;5,1732845;5,1924906;5,1994047;5,194027;5,1517744;5,194795;5,1917224;5,1848083;5,1986365;5,193259;5,194027;5,200173;5,1917224;5,1786623;5,137946;5,190954;5,1924906;5,1924906;5,1825037;5,1848083;5,137178;5,1755896;5,18404;5,127959;5,17098;5,1755896;5,130264;5,127959;5,1271906;5,125654;5,1732845;5,1195083;5,1156673;5,1686754;5,1233497;5,174053;5,1594567;5,15792;5,164066;5,1632977;5,1825037;5,1763577;5,167907;5,1794305;5,17098;5,17098;5,1786623;5,177126;5,1732845;5,124118;5,1195083;5,1801987;5,177126;5,1195083;5,1755896;5,121045;5,114131;5,1233497;5,174053;5,1755896;5,174053;5,1233497;5,112594;5,1102896;5,1686754;5,17098;5,1748214;5,114131;5,1156673;5,1732845;5,1110578;5,174053;5,101839;5,112594;5,170212;5,10568;5,1517744;5,1110578;5,108753;5,170212;5,108753;5,1632977;5,1110578;5,1617613;5,1064487;5,170212;5,167907;5,167139;5,111826;5,167139;5,0987663;5,1064487;5,0995345;5,164834;5,164834;5,164066;5,160993;5,0972295;5,15792;5,104912;5,1556153;5,214001;5,0987663;5,0964613;5,1625295;5,160993;5,0933886;5,160993;5,1586885;5,0872426;5,0749507;5,1387143;5,0872426;5,0964613;5,085706;5,085706;5,091852;5,0933886;5,0995345;5,088011;5,0926204;5,160993;5,1586885;5,154847;5,1625295;5,091852;5,147165;5,154847;5,08417;5,085706;5,0933886;5,1448603;5,1387143;5,082633;5,1556153;5,15792;5,085706;5,08417;5,088779;5,0864744;5,151006;5,0872426;5,15792;5,075719;5,153311;5,137946;5,1556153;5,151006;5,141019;5,148701;5,0772557;5,0772557;5,0795603;5,0749507;5,081865;5,0772557;5,0741825;5,154847;5,147165;5,0864744;5,075719;5,1433234;5,1325684;5,0734143;5,084938;5,153311;5,148701;5,0741825;5,151006;5,0695734;5,07111;5,061891;5,0810966;5,151006;5,0864744;5,0795603;5,072646;5,0734143;5,068805;5,07111;5,075719;5,078792;5,1517744;5,0741825;5,0703416;5,153311
500000;5,370721;5,3338456;5,3169446;5,3161764;5,3161764;5,322322;5,3154078;5,3207855;5,317713;5,3154078;5,317713;5,3154078;5,324627;5,32309;5,325395;5,319249;5,3169446;5,3207855;5,354588;5,319249;5,322322;5,319249;5,311567;5,3215537;5,3207855;5,3154078;5,311567;5,317713;5,3507466;5,3200173;5,3261633;5,3200173;5,3161764;5,3207855;5,351515;5,322322;5,329236;5,3561244;5,32309;5,3207855;5,3499784;5,355356;5,355356;5,355356;5,3207855;5,3568926;5,3561244;5,3276997;5,352283;5,325395;5,3207855;5,3077254;5,3092623;5,3092623;5,3215537;5,317713;5,313103;5,3215537;5,3200173;5,3215537;5,3161764;5,32309;5,3161764;5,351515;5,345369;5,313103;5,319249;5,348442;5,317713;5,345369;5,353051;5,3430643;5,3154078;5,3207855;5,3215537;5,3438325;5,352283;5,3392234;5,3161764;5,3215537;5,3138714;5,3430643;5,3507466;5,3161764;5,3492103;5,3169446;5,3469057;5,3461375;5,317713;5,3507466;5,328468;5,3430643;5,354588;5,313103;5,3446007;5,319249;5,3399916;5,32309;5,348442;5,3138714;5,324627;5,3154078;5,3392234;5,3154078;5,3399916;5,345369;5,353051;5,311567;5,3146396;5,3138714;5,313103;5,353051;5,3169446;5,3399916;5,3169446;5,2708507;5,3392234;5,3430643;5,3161764;5,3161764;5,348442;5,313103;5,311567;5,3407598;5,3469057;5,3031163;5,3469057;5,3507466;5,3430643;5,345369;5,3446007;5,338455;5,3430643;5,3469057;5,3392234;5,3077254;5,3138714;5,3215537;5,32309;5,3492103;5,3161764;5,322322;5,3438325;5,3438325;5,331541;5,2985067;5,3261633;5,345369;5,311567;5,3146396;5,3369184;5,3438325;5,3430643;5,3369184;5,3107986;5,3407598;5,3092623;5,345369;5,3100305;5,3146396;5,313103;5,3107986;5,3154078;5,308494;5,3438325;5,3469057;5,3430643;5,3430643;5,342296;5,3461375;5,345369;5,3154078;5,3138714;5,3430643;5,3492103;5,311567;5,3215537;5,345369;5,338455;5,3077254;5,3169446;5,3399916;5,3107986;5,3438325;5,3407598;5,335382;5,338455;5,3107986;5,3376865;5,3376865;5,345369;5,338455;5,3461375;5,3399916;5,3430643;5,335382;5,3161764;5,3392234;5,3492103;5,3092623
600000;5,3407598;5,354588;5,348442;5,348442;5,3446007;5,345369;5,338455;5,338455;5,3469057;5,3438325;5,3399916;5,3438325;5,338455;5,3407598;5,3323092;5,3376865;5,3376865;5,335382;5,3138714;5,3376865;5,335382;5,329236;5,342296;5,3392234;5,335382;5,3392234;5,330773;5,3261633;5,3092623;5,3369184;5,3392234;5,338455;5,3392234;5,3376865;5,3138714;5,331541;5,338455;5,3154078;5,3338456;5,3407598;5,3161764;5,3154078;5,317713;5,313103;5,338455;5,305421;5,313103;5,3369184;5,3161764;5,3399916;5,331541;5,3215537;5,328468;5,3269315;5,3376865;5,335382;5,329236;5,3369184;5,3338456;5,334614;5,330773;5,334614;5,3323092;5,3092623;5,3077254;5,3323092;5,329236;5,3138714;5,3376865;5,3100305;5,311567;5,3138714;5,3369184;5,334614;5,3338456;5,3138714;5,3092623;5,3046527;5,335382;5,3392234;5,3330774;5,3138714;5,3077254;5,3330774;5,3107986;5,334614;5,3100305;5,308494;5,334614;5,3077254;5,329236;5,311567;5,308494;5,3338456;5,3107986;5,3330774;5,3138714;5,3269315;5,3092623;5,335382;5,335382;5,335382;5,3146396;5,3323092;5,311567;5,3107986;5,3107986;5,334614;5,3323092;5,335382;5,3330774;5,306189;5,330773;5,3100305;5,335382;5,3430643;5,3092623;5,3107986;5,334614;5,3323092;5,3046527;5,330773;5,335382;5,299275;5,302348;5,324627;5,311567;5,3077254;5,3100305;5,3100305;5,308494;5,311567;5,3100305;5,308494;5,311567;5,334614;5,3338456;5,329236;5,335382;5,308494;5,3323092;5,328468;5,3077254;5,3077254;5,3107986;5,3107986;5,32309;5,305421;5,331541;5,3261633;5,3077254;5,3038845;5,3092623;5,3100305;5,3338456;5,3092623;5,331541;5,302348;5,3276997;5,3276997;5,3276997;5,3276997;5,3323092;5,329236;5,305421;5,3046527;5,3077254;5,3077254;5,306189;5,3038845;5,305421;5,3276997;5,328468;5,3077254;5,3038845;5,3269315;5,32309;5,299275;5,306189;5,3269315;5,325395;5,3038845;5,330773;5,3038845;5,306189;5,300043;5,306189;5,324627;5,3031163;5,3046527;5,3046527;5,3046527;5,30158;5,306189;5,305421;5,3031163;5,325395;5,302348;5,3038845;5,3276997
700000;5,3376865;5,3138714;5,3046527;5,3046527;5,3046527;5,3077254;5,3038845;5,300043;5,306189;5,3038845;5,3031163;5,3100305;5,3077254;5,3077254;5,302348;5,305421;5,3092623;5,305421;5,32309;5,3046527;5,305421;5,306189;5,3092623;5,311567;5,3107986;5,3077254;5,30158;5,299275;5,330773;5,3046527;5,3092623;5,3092623;5,3038845;5,3100305;5,3276997;5,306189;5,308494;5,3261633;5,3031163;5,308494;5,3269315;5,3269315;5,3276997;5,3276997;5,3046527;5,331541;5,324627;5,3077254;5,328468;5,3031163;5,3046527;5,292361;5,295434;5,296202;5,3046527;5,3046527;5,300043;5,3038845;5,3038845;5,3077254;5,3046527;5,3046527;5,30158;5,329236;5,3261633;5,300043;5,299275;5,322322;5,3046527;5,328468;5,328468;5,325395;5,3077254;5,3031163;5,300043;5,3215537;5,325395;5,3161764;5,3100305;5,3046527;5,30158;5,3161764;5,322322;5,305421;5,3207855;5,30158;5,32309;5,322322;5,302348;5,32309;5,306189;5,322322;5,3215537;5,3038845;5,3207855;5,302348;5,322322;5,3038845;5,3161764;5,30158;5,3031163;5,302348;5,3215537;5,2985067;5,319249;5,3261633;5,3200173;5,3031163;5,299275;5,302348;5,30158;5,3269315;5,3038845;5,3200173;5,300043;5,313103;5,325395;5,32309;5,30158;5,30158;5,325395;5,299275;5,300043;5,3154078;5,319249;5,290056;5,317713;5,324627;5,3207855;5,3215537;5,3207855;5,324627;5,3200173;5,3261633;5,317713;5,2969704;5,2969704;5,299275;5,30158;5,3215537;5,2985067;5,3031163;5,313103;5,3146396;5,3138714;5,2908244;5,2977386;5,317713;5,30158;5,3046527;5,3146396;5,3207855;5,3207855;5,3169446;5,2977386;5,3207855;5,2985067;5,3215537;5,2977386;5,2969704;5,2969704;5,2969704;5,299275;5,295434;5,3169446;5,3207855;5,3138714;5,3161764;5,3154078;5,3154078;5,3138714;5,2969704;5,2977386;5,317713;5,3169446;5,296202;5,2985067;5,3154078;5,319249;5,2985067;5,2969704;5,317713;5,2969704;5,313103;5,317713;5,3092623;5,317713;5,293129;5,3161764;5,3161764;5,3154078;5,3146396;5,3154078;5,3107986;5,3154078;5,311567;5,295434;5,3200173;5,313103;5,292361
800000;5,370721;5,3622704;5,352283;5,3499784;5,3492103;5,3492103;5,345369;5,345369;5,3469057;5,3469057;5,3461375;5,3499784;5,3492103;5,3461375;5,3461375;5,3507466;5,345369;5,3469057;5,3461375;5,348442;5,3461375;5,345369;5,3492103;5,3469057;5,3446007;5,3461375;5,3392234;5,338455;5,345369;5,348442;5,353051;5,351515;5,348442;5,3492103;5,3507466;5,3469057;5,3499784;5,354588;5,3492103;5,3492103;5,3499784;5,351515;5,3507466;5,3492103;5,3499784;5,353051;5,3499784;5,3499784;5,353051;5,3499784;5,348442;5,335382;5,3392234;5,3399916;5,3461375;5,3469057;5,3461375;5,345369;5,3438325;5,3499784;5,3446007;5,3461375;5,342296;5,3430643;5,342296;5,3407598;5,3438325;5,3461375;5,3438325;5,345369;5,3492103;5,3438325;5,3469057;5,3446007;5,348442;5,3438325;5,3438325;5,3369184;5,3446007;5,342296;5,3438325;5,3438325;5,3407598;5,342296;5,3438325;5,3430643;5,3461375;5,3430643;5,3446007;5,3430643;5,345369;5,3461375;5,3461375;5,3430643;5,3446007;5,3438325;5,3438325;5,3430643;5,342296;5,342296;5,3461375;5,3438325;5,342296;5,3376865;5,3438325;5,3430643;5,345369;5,342296;5,3399916;5,342296;5,3469057;5,3407598;5,345369;5,342296;5,345369;5,3269315;5,3430643;5,3446007;5,342296;5,3399916;5,3407598;5,338455;5,342296;5,334614;5,3392234;5,3369184;5,3438325;5,3461375;5,3430643;5,3469057;5,3438325;5,3407598;5,3438325;5,3392234;5,3407598;5,338455;5,342296;5,338455;5,342296;5,342296;5,3430643;5,3446007;5,3407598;5,3407598;5,338455;5,32309;5,3407598;5,3438325;5,3399916;5,335382;5,338455;5,3399916;5,3407598;5,3430643;5,3430643;5,3407598;5,3369184;5,335382;5,3369184;5,3392234;5,338455;5,3369184;5,3399916;5,338455;5,3392234;5,3407598;5,3392234;5,338455;5,342296;5,3376865;5,3369184;5,3399916;5,338455;5,342296;5,3392234;5,335382;5,3399916;5,3399916;5,335382;5,3376865;5,338455;5,3376865;5,3369184;5,3369184;5,3399916;5,335382;5,3407598;5,3376865;5,334614;5,3376865;5,3392234;5,3369184;5,3392234;5,342296;5,335382;5,335382;5,3369184;5,335382;5,3369184;5,3338456
900000;5,329236;5,319249;5,3200173;5,3161764;5,313103;5,3200173;5,3138714;5,3100305;5,3207855;5,3169446;5,3169446;5,3161764;5,3161764;5,319249;5,313103;5,317713;5,3154078;5,3146396;5,311567;5,3146396;5,3107986;5,311567;5,319249;5,3169446;5,313103;5,3215537;5,3146396;5,3077254;5,3146396;5,317713;5,3146396;5,313103;5,3169446;5,3146396;5,3154078;5,3077254;5,3154078;5,3200173;5,3107986;5,3169446;5,3207855;5,3207855;5,3207855;5,317713;5,3169446;5,3161764;5,3146396;5,317713;5,319249;5,3146396;5,3107986;5,302348;5,302348;5,302348;5,3154078;5,3138714;5,3092623;5,3154078;5,3138714;5,3138714;5,3154078;5,3146396;5,3138714;5,3138714;5,3107986;5,3092623;5,3107986;5,3138714;5,313103;5,3154078;5,3146396;5,3146396;5,3154078;5,313103;5,311567;5,313103;5,3146396;5,305421;5,3146396;5,3138714;5,311567;5,3092623;5,3100305;5,3100305;5,3092623;5,3146396;5,313103;5,3100305;5,311567;5,311567;5,3138714;5,3146396;5,3146396;5,3107986;5,313103;5,3100305;5,3138714;5,311567;5,3146396;5,3138714;5,3146396;5,3100305;5,3138714;5,311567;5,311567;5,313103;5,3107986;5,3138714;5,3138714;5,311567;5,3092623;5,3092623;5,3138714;5,3107986;5,311567;5,32309;5,311567;5,3138714;5,3100305;5,3107986;5,3107986;5,3169446;5,3107986;5,30158;5,3038845;5,302348;5,308494;5,3100305;5,311567;5,3107986;5,3146396;5,308494;5,3092623;5,3107986;5,3107986;5,3107986;5,3092623;5,3107986;5,3092623;5,3107986;5,3077254;5,313103;5,306189;5,313103;5,308494;5,296202;5,311567;5,311567;5,3138714;5,3138714;5,3077254;5,3100305;5,308494;5,3100305;5,3092623;5,3077254;5,3092623;5,3100305;5,3107986;5,308494;5,3138714;5,3100305;5,3100305;5,3092623;5,3100305;5,3092623;5,3138714;5,308494;5,3092623;5,3046527;5,3077254;5,306189;5,308494;5,308494;5,3077254;5,3092623;5,308494;5,306189;5,308494;5,308494;5,306189;5,3100305;5,3092623;5,3046527;5,3046527;5,296202;5,306189;5,3031163;5,305421;5,305421;5,3031163;5,308494;5,3038845;5,306189;5,3046527;5,305421;5,3046527;5,308494;5,3046527;5,3107986
